City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ambilobe,-13.2,49.05,70.21,85,11,4.27,MG,1650939191
Kemijärvi,66.7131,27.4306,28.92,68,97,12.66,FI,1650939227
Bastrop,32.7562,-91.8724,64.08,96,100,1.01,US,1650939228
Poconé,-16.2567,-56.6228,79.54,64,22,3.62,BR,1650939228
Okhotsk,59.3833,143.3,32.7,69,1,15.37,RU,1650939228
Krasnosel'kup,65.7,82.4667,13.37,88,92,3.71,RU,1650938962
Ciechanów,52.8814,20.62,44.46,94,100,6.24,PL,1650939229
Codrington,-38.2667,141.9667,71.73,42,100,11.61,AU,1650939229
Maryborough,-25.5333,152.7,70.11,88,100,6.02,AU,1650939229
Pangnirtung,66.1451,-65.7125,0.21,100,100,5.39,CA,1650939230
Haverfordwest,51.8017,-4.9691,46.54,77,100,3,GB,1650939230
Pacific Grove,36.6177,-121.9166,67.01,81,0,11.5,US,1650939230
Pampa,35.5362,-100.9599,56.35,28,0,8.05,US,1650939231
Tavares,28.8042,-81.7256,75.99,74,0,10.36,US,1650938958
Sovetskaya,44.7769,41.1722,56.05,81,29,7.92,RU,1650939231
George Town,5.4112,100.3354,85.95,79,20,0,MY,1650939231
Arrondissement de Sedan,49.6667,5,38.25,94,19,4.23,FR,1650939232
Pochutla,15.7432,-96.4661,81.82,68,30,5.01,MX,1650939232
Verkhnevilyuysk,63.4453,120.3167,30.42,82,97,1.99,RU,1650939232
Kandi,11.1342,2.9386,83.5,46,97,5.46,BJ,1650939232
Dhekiajuli,26.7,92.5,78.91,63,11,8.41,IN,1650939233
Monrovia,6.3005,-10.7969,80.13,85,77,6.71,LR,1650938937
Savannah Bight,16.45,-85.85,81.03,78,0,19.44,HN,1650939233
St. George's,12.0564,-61.7485,78.48,83,40,9.22,GD,1650939233
Kachīry,53.0675,76.1036,45.43,46,100,10.42,KZ,1650939234
Monte Patria,-30.6919,-70.9467,62.44,69,0,2.57,CL,1650939234
Vredendal,-31.6683,18.5012,57.67,45,100,3.8,ZA,1650939234
Brownsville,25.9018,-97.4975,79.09,88,100,12.66,US,1650939185
Launceston,-41.45,147.1667,64.8,67,100,2.3,AU,1650939162
Sobolevo,54.4299,31.8996,43.68,94,55,4.05,RU,1650939125
Gamba,-2.65,10,76.55,94,100,4.68,GA,1650939235
Dabakala,8.3667,-4.4333,77.67,74,41,4.88,CI,1650939235
Camacha,33.0833,-16.3333,58.42,77,40,10.36,PT,1650939235
Nur-Sultan,51.1801,71.446,35.55,60,0,2.24,KZ,1650939236
Yuxia,34.0615,108.6291,75.81,36,68,3.6,CN,1650939236
Merauke,-8.4667,140.3333,86.25,64,12,1.72,ID,1650939236
Sola,-13.8833,167.55,80.78,76,82,17.07,VU,1650939037
Barcelona,41.3888,2.159,57.79,74,20,3.44,ES,1650939237
Maniitsoq,65.4167,-52.9,28.63,84,100,12.1,GL,1650939237
Skibotn,69.3913,20.2679,24.28,94,99,8.37,NO,1650939237
Abu Samrah,35.3029,37.1841,64.74,45,8,3.22,SY,1650939184
Mahébourg,-20.4081,57.7,75.49,83,75,11.5,MU,1650938990
Inhambane,-23.865,35.3833,74.34,85,97,10.69,MZ,1650939238
Manokwari,-0.8667,134.0833,84.58,70,30,9.71,ID,1650939238
Paducah,37.0834,-88.6001,59.22,64,0,9.22,US,1650939127
Kaberamaido,1.7389,33.1594,65.97,90,91,2.33,UG,1650939238
Flinders,-34.5833,150.8552,70.38,79,100,7,AU,1650939239
Halifax,44.6453,-63.5724,45.68,87,97,4.9,CA,1650939127
La Asuncion,11.0333,-63.8628,76.89,91,23,8.93,VE,1650939239
Újszilvás,47.2748,19.9248,49.91,82,5,7.76,HU,1650939239
Bridlington,54.0831,-0.1919,41,84,16,9.04,GB,1650939240
Bontang,0.1333,117.5,76.21,90,100,4.32,ID,1650939240
Nizhniy Kuranakh,58.8353,125.4869,31.66,80,100,9.08,RU,1650939138
Zhezkazgan,47.8043,67.7144,40.98,87,0,6.71,KZ,1650939240
Dunedin,-45.8742,170.5036,58.8,50,60,21.99,NZ,1650939241
Nelson Bay,-32.7167,152.15,71.01,83,100,5.48,AU,1650939181
Huarmey,-10.0681,-78.1522,68.22,83,100,8.97,PE,1650939241
Samarkand,39.6542,66.9597,62.02,72,100,4.61,UZ,1650939242
Bosaso,11.2842,49.1816,82.35,64,52,10.09,SO,1650939242
Padang,-0.9492,100.3543,78.85,80,100,3.02,ID,1650939242
Ihosy,-22.4,46.1167,64.92,91,94,5.14,MG,1650939243
City of San Pedro,14.35,121.0167,90.63,66,20,8.05,PH,1650939243
Mareeba,-17,145.4333,85.44,75,39,2.37,AU,1650939243
Carnot,4.9409,15.8665,69.93,95,100,0.65,CF,1650939244
San Jose de Guanipa,8.8872,-64.1651,79.86,71,98,9.69,VE,1650939244
Khatanga,71.9667,102.5,10.47,90,100,6.85,RU,1650939206
Pozo Colorado,-23.4923,-58.7972,90.3,38,8,10.69,PY,1650939245
Mandalgovi,45.7625,106.2708,28.11,23,12,13.18,MN,1650939245
Sarkand,45.41,79.9186,43.45,68,63,4.92,KZ,1650939245
Mozăceni,44.5667,25.1667,51.31,80,100,5.12,RO,1650939246
Ponta do Sol,32.6667,-17.1,60.71,76,23,9.62,PT,1650939075
Port Shepstone,-30.7414,30.455,60.08,65,0,12.33,ZA,1650939200
Porto Belo,-27.1578,-48.5531,75.25,92,100,10.71,BR,1650939246
Aljezur,37.3191,-8.8033,54.39,89,45,1.86,PT,1650939247
Madimba,-10.4,40.3333,76.28,91,67,5.75,TZ,1650939247
Bayan,46.0833,127.4,55.69,32,1,20.09,CN,1650939247
Tignère,7.3667,12.65,68.2,84,100,2.59,CM,1650939248
Kungurtug,50.5994,97.5228,27.09,48,100,1.52,RU,1650939248
Lonoy,11.5122,122.5533,82.02,88,97,6.53,PH,1650939249
Paharpur,32.1038,70.9724,86.99,21,0,1.95,PK,1650939249
Sokoni,-6.4333,39.55,79.66,85,100,10.11,TZ,1650939249
Dillon,34.4166,-79.3712,71.94,74,0,8.03,US,1650939153
Maragogi,-9.0122,-35.2225,76.98,85,100,8.59,BR,1650939250
Lompoc,34.6391,-120.4579,68.77,79,0,15.99,US,1650939091
Ubinskoye,55.3068,79.6802,42.12,55,100,8.99,RU,1650939250
Ponnāni,10.767,75.9252,83.52,81,19,4.25,IN,1650939250
Kloulklubed,7.0419,134.2556,82.9,74,100,16.17,PW,1650939251
Goderich,43.7501,-81.7165,47.91,88,100,12.55,CA,1650939251
Bubaque,11.2833,-15.8333,77.52,72,4,10,GW,1650939251
Along,28.1667,94.7667,73.38,64,39,0.6,IN,1650939252
Kushima,31.4583,131.2333,77.81,79,99,11.7,JP,1650939252
Pāsighāt,28.0667,95.3333,78.35,57,41,1.25,IN,1650939252
Kot Addu,30.4692,70.9671,85.77,19,0,6.15,PK,1650939253
Onalaska,43.8844,-91.2351,39.06,68,100,12.66,US,1650939253
Port Blair,11.6667,92.75,85.44,67,100,3.53,IN,1650939253
Ugoofaaru,5.6667,73,84.36,69,48,3.62,MV,1650939135
Harper,4.375,-7.7169,78.94,84,84,4.16,LR,1650939254
Saint-Augustin,51.226,-58.6502,34.88,97,100,9.37,CA,1650939254
Forsytheganj,52.6333,29.7333,47.07,96,100,6.78,BY,1650939255
Abhā,18.2164,42.5053,53.85,100,40,8.05,SA,1650939255
Kasongo-Lunda,-6.4667,16.8167,69.91,97,100,0.74,CD,1650939255
Naze,28.3667,129.4833,76.12,82,22,17.6,JP,1650939256
Dickson,36.077,-87.3878,60.55,93,100,9.22,US,1650939256
Karasjok,69.4719,25.5112,18.81,84,57,9.19,NO,1650939257
Lusambo,-4.9667,23.45,69.57,100,100,1.01,CD,1650939257
Lichuan,30.3,108.85,61.59,88,100,1.83,CN,1650939257
Perth,-31.9333,115.8333,69.19,60,75,12.66,AU,1650939058
Newport,51.5877,-2.9984,48.09,81,25,10.27,GB,1650939258
Kwang Binh,17.4833,106.6,88.99,62,7,4.92,VN,1650939258
Kutulik,53.3508,102.7839,35.96,49,21,9.64,RU,1650939258
Taiyuan,37.8694,112.5603,64.26,15,0,22.37,CN,1650939259
Poronaysk,49.2167,143.1167,32.09,75,100,9.71,RU,1650939259
Severo-Yeniseyskiy,60.3725,93.0408,29.41,81,94,9.13,RU,1650939259
Cianorte,-23.6633,-52.605,68.23,85,99,6.62,BR,1650939260
Raja,8.4596,25.678,73.72,75,100,3.87,SS,1650939260
Buala,-8.145,159.5921,85.23,71,60,3.56,SB,1650939260
Kuah,6.3265,99.8432,82.24,79,100,3.24,MY,1650939260
Lodja,-3.4833,23.4333,69.37,100,100,0.98,CD,1650939261
Coahuayana Viejo,18.7333,-103.6833,70.93,85,31,2.08,MX,1650939261
Olafsvik,64.8945,-23.7142,42.01,83,88,4.25,IS,1650939261
Abéché,13.8292,20.8324,79.9,47,95,3.87,TD,1650939262
Honningsvåg,70.9821,25.9704,24.55,54,75,23.02,NO,1650939262
Cabedelo,-6.9811,-34.8339,74.07,80,10,9.62,BR,1650939262
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,78.21,75,93,4.38,AR,1650939208
Mokshan,53.4365,44.6132,53.11,78,100,11.32,RU,1650939263
Matara,5.9485,80.5353,80.8,81,12,3.04,LK,1650939263
Marovoay,-16.1,46.6333,70.79,75,10,5.1,MG,1650939263
Lagoa,39.05,-27.9833,58.03,71,95,11.56,PT,1650939210
El Molino,10.6523,-72.924,75.45,89,100,2.01,CO,1650939264
Khāsh,28.2211,61.2158,69.69,28,10,3.11,IR,1650939264
São Filipe,14.8961,-24.4956,74.7,69,83,11.79,CV,1650939264
Bar Harbor,44.3876,-68.2039,41.25,78,40,5.75,US,1650939265
Bogale,16.2833,95.4,88.92,56,49,7.94,MM,1650939265
Baykit,61.67,96.37,28.78,92,100,4.41,RU,1650939265
Passagem Franca,-6.1797,-43.7836,72.81,77,100,1.72,BR,1650939266
Taoudenni,22.6783,-3.9836,74.3,25,0,9.48,ML,1650939227
Muzhi,65.3667,64.6667,26.01,96,100,4.25,RU,1650939266
Kiunga,-6.1219,141.2906,87.04,60,85,2.33,PG,1650939266
Te Anau,-45.4167,167.7167,55.89,54,5,1.86,NZ,1650939267
San Angelo,31.4638,-100.437,63.54,44,0,11.5,US,1650939267
Lagos,6.5833,3.75,78.44,91,28,5.84,NG,1650939267
Green River,41.5286,-109.4662,47.98,50,100,1.01,US,1650939056
Ayan,56.45,138.1667,35.73,75,1,5.39,RU,1650939268
Yinchuan,38.4681,106.2731,54.1,14,6,15.52,CN,1650939268
Evensk,61.95,159.2333,32.16,75,100,21.09,RU,1650939268
Poso,-1.3959,120.7524,85.73,65,39,3.06,ID,1650939269
Bataiporã,-22.2953,-53.2711,72.86,77,43,6.69,BR,1650939269
Strai,58.2,7.9,34.39,93,14,6.91,NO,1650939269
Oktyabr'skiy,54.4815,53.471,52,85,87,7.45,RU,1650939171
Manggar,-2.8833,108.2667,84.52,69,93,3.22,ID,1650939270
Waitara,-38.925,174.25,65.5,73,86,8.41,NZ,1650939270
Salalah,17.0151,54.0924,80.69,74,40,4.61,OM,1650939203
Cumberland,35.0502,-78.8664,75.6,64,0,10.36,US,1650939045
Talara,-4.5772,-81.2719,67.24,88,37,16.98,PE,1650939270
Kashgar,39.4547,75.9797,69.01,13,20,6.71,CN,1650939271
North Myrtle Beach,33.816,-78.68,70.11,87,0,11.5,US,1650939271
Palkino,57.5409,28.0126,40.75,96,87,4.88,RU,1650939271
Ubari,26.5921,12.7805,73.2,16,87,14.16,LY,1650939272
Klaksvík,62.2266,-6.589,38.32,69,100,13.4,FO,1650939015
São Gabriel da Cachoeira,-0.1303,-67.0892,73.04,98,100,0.74,BR,1650939111
Broken Hill,-31.95,141.4333,58.48,96,100,16.62,AU,1650939272
Chara,56.9064,118.2631,28.17,53,100,4.21,RU,1650939272
Hantsport,45.0668,-64.1654,46.42,87,100,1.01,CA,1650939273
Aswān,24.0934,32.907,77.72,25,14,8.34,EG,1650939273
Teeli,51.0333,90.2333,36.28,34,100,1.92,RU,1650939273
Altay,47.8667,88.1167,42.03,62,100,2.1,CN,1650939274
Bereda,43.2686,-7.5406,50.58,100,96,0.94,ES,1650939112
Brae,60.3964,-1.353,43.77,70,100,15.35,GB,1650939274
Kattivākkam,13.2167,80.3167,86.09,90,6,11.77,IN,1650939274
Mount Gambier,-37.8333,140.7667,71.06,40,100,9.33,AU,1650939275
Shingū,33.7333,135.9833,70.65,96,100,6.96,JP,1650939126
Eureka,40.8021,-124.1637,60.75,82,100,7,US,1650939275
Espinal,4.1492,-74.8843,71.96,89,100,0.98,CO,1650939275
Bitung,1.4451,125.1824,88.65,67,62,3.44,ID,1650939276
Bowen,-20.0167,148.2333,75.38,88,100,16.31,AU,1650939276
Port Keats,-14.25,129.55,90.43,50,96,7.67,AU,1650939276
Ascension,30.2169,-90.9001,70.07,95,40,0,US,1650939276
Bambanglipuro,-7.95,110.2833,84.15,70,71,2.35,ID,1650939073
Balibago,15.1624,120.5954,90.12,58,75,4.61,PH,1650939277
Bonthe,7.5264,-12.505,79.9,89,100,7.99,SL,1650939038
Bengkulu,-3.8004,102.2655,80.01,74,100,3.83,ID,1650939058
Mukdahan,16.5833,104.5,93.02,48,8,10.96,TH,1650939277
Tomakomai,42.6369,141.6033,61.18,71,75,23.02,JP,1650939278
Suntar,62.1444,117.6319,32.88,71,100,3,RU,1650939136
Ténenkou,14.4572,-4.9169,82.65,18,0,9.35,ML,1650939278
Peniche,39.3558,-9.3811,58.1,89,66,9.13,PT,1650939278
Walvis Bay,-22.9575,14.5053,62.4,67,0,6.62,NA,1650939278
Amursk,50.2261,136.8994,37.24,69,100,16.26,RU,1650939279
Angoche,-16.2325,39.9086,76.78,89,66,4.18,MZ,1650939279
Mayo,38.8876,-76.5119,61.21,86,100,6.91,US,1650939279
Duku,11.2361,4.9073,84.67,46,61,7.02,NG,1650939280
Nara,34.6851,135.8049,73.49,60,100,7.81,JP,1650939280
Tual,-5.6667,132.75,82.47,75,97,3.27,ID,1650939280
Snezhnogorsk,69.1933,33.2531,26.38,85,100,24.52,RU,1650939280
Tura,25.5198,90.2201,80.89,68,0,5.3,IN,1650939281
Chivacoa,10.1603,-68.895,73.29,94,90,4.76,VE,1650939281
Flin Flon,54.7682,-101.865,22.19,85,3,3.98,CA,1650939282
Khovd,48.0056,91.6419,35.76,25,98,3.24,MN,1650939282
Inzhavino,52.3185,42.4937,51.8,89,85,7.45,RU,1650939282
